author_id,author,external_author_id,account_type,account_category,new_june_2018,congress_2017_id,in_congress_2017,in_congress_2018
10_gop,10_gop,906000000000000000,Right,RightTroll,False,905874659358453760,True,True
1488reasons,1488reasons,2528776985,Russian,NonEnglish,False,2528776985,True,True
1D_Nicole_,1D_Nicole_,2535564756,Koch,Fearmonger,False,2535564756,True,True
1Erik_Lee,1Erik_Lee,1860330774,Right,RightTroll,False,1860330774,True,True
1lorenafava1,1lorenafava1,839000000000000000,Italian,NonEnglish,False,838742761515991040,True,True
2ndHalfOnion,2ndHalfOnion,823000000000000000,Right,RightTroll,False,823484279787294720,True,True
459Jisalge,459Jisalge,3644473036,Russian,NonEnglish,False,3644473036,True,True
4ever1937,4ever1937,749000000000000000,Russian,NonEnglish,False,748870305280647168,True,True
4ever_susan,4ever_susan,1670773585,Right,RightTroll,True,,False,True
4MySquad3312143142,4MySquad,3312143142,left,LeftTroll,False,4036537452,True,True
4MySquad4036537452,4MySquad,4036537452,left,LeftTroll,False,4036537452,True,True
5emen5emenich,5emen5emenich,2398930948,Russian,NonEnglish,True,,False,True
5l5_5l5,5l5_5l5,2404563335,Russian,NonEnglish,True,,False,True
666steverogers,666steverogers,714000000000000000,?,Unknown,False,713665792550645760,True,True
6Druz,6Druz,2534875924,Russian,NonEnglish,False,2534875924,True,True
71bilaljamil1,71bilaljamil1,3936735149,German,NonEnglish,False,3936735149,True,True
AAAsssssHHH,AAAsssssHHH,2540502044,Koch,Fearmonger,False,2540502044,True,True
aaatest1234,aaatest1234,968131000000000000,Russian,NonEnglish,True,,False,True
aaavadakedavraa,aaavadakedavraa,2498342893,Russian,NonEnglish,True,,False,True
AAGN1AA,AAGN1AA,2486476847,Russian,NonEnglish,True,,False,True
aantiracist,aantiracist,1709314117,left,LeftTroll,False,1709314117,True,True
AaronAllenAll,AaronAllenAll,1651191403,Koch,Fearmonger,False,1651191403,True,True
Aaron_M1tchell,Aaron_M1tchell,831000000000000000,Koch,Fearmonger,False,831266851376214016,True,True
AbalakovaYlia,AbalakovaYlia,1709486191,Russian,NonEnglish,True,,False,True
abbasshukri,abbasshukri,2498762833,Spanish,NonEnglish,False,2498762833,True,True
