author_id,language,tweet_count
10_gop,English,372
1488reasons,Russian,51
1488reasons,Serbian,1
1488reasons,Ukrainian,1
1D_Nicole_,English,41
1D_Nicole_,Tagalog (Filipino),2
1D_Nicole_,Albanian,1
1Erik_Lee,English,2
1lorenafava1,Italian,2919
1lorenafava1,English,62
1lorenafava1,Romanian,15
1lorenafava1,Spanish,35
1lorenafava1,Catalan,9
1lorenafava1,German,1
1lorenafava1,Estonian,3
1lorenafava1,French,3
1lorenafava1,Norwegian,2
1lorenafava1,Vietnamese,1
1lorenafava1,Dutch,1
2ndHalfOnion,English,3
459Jisalge,Russian,1
4ever1937,Russian,1413
4ever1937,Ukrainian,98
4ever1937,Arabic,1
4ever1937,Uzbek,11
4ever1937,Bulgarian,10
4ever1937,Macedonian,8
4ever1937,English,41
4ever1937,Serbian,11
4ever1937,French,1
4ever_susan,English,62
4ever_susan,French,1
4MySquad4036537452,English,1442
4MySquad4036537452,Spanish,2
4MySquad4036537452,Arabic,1
4MySquad4036537452,Catalan,1
4MySquad4036537452,Turkish,1
4MySquad4036537452,Norwegian,1
4MySquad3312143142,English,3338
4MySquad3312143142,Tagalog (Filipino),5
4MySquad3312143142,Estonian,3
4MySquad3312143142,Farsi (Persian),5
4MySquad3312143142,Romanian,6
4MySquad3312143142,LANGUAGE UNDEFINED,11
4MySquad3312143142,Vietnamese,2
4MySquad3312143142,Czech,2
4MySquad3312143142,Somali,2
4MySquad3312143142,Spanish,4
4MySquad3312143142,Lithuanian,1
4MySquad3312143142,Italian,2
4MySquad3312143142,Croatian,1
4MySquad3312143142,Norwegian,2
4MySquad3312143142,Slovak,1
4MySquad3312143142,Arabic,4
4MySquad3312143142,Icelandic,1
4MySquad3312143142,Uzbek,1
5emen5emenich,Macedonian,8
5emen5emenich,Russian,565
5emen5emenich,Ukrainian,33
5emen5emenich,Serbian,6
5emen5emenich,Bulgarian,1
5emen5emenich,Uzbek,7
5emen5emenich,English,1
5l5_5l5,Russian,404
5l5_5l5,Serbian,8
5l5_5l5,Ukrainian,42
5l5_5l5,Bulgarian,3
5l5_5l5,Uzbek,4
5l5_5l5,English,1
5l5_5l5,Macedonian,2
666steverogers,English,138
666steverogers,Vietnamese,1
6Druz,Russian,653
6Druz,English,116
6Druz,Ukrainian,32
6Druz,Serbian,8
6Druz,Spanish,1
6Druz,Macedonian,10
6Druz,Bulgarian,6
6Druz,German,2
6Druz,Uzbek,2
6Druz,Slovenian,1
6Druz,Japanese,1
71bilaljamil1,English,13
71bilaljamil1,Arabic,5
71bilaljamil1,German,5
AAAsssssHHH,English,71
aaatest1234,Russian,1
aaavadakedavraa,Russian,494
aaavadakedavraa,Ukrainian,29
aaavadakedavraa,Uzbek,7
aaavadakedavraa,Macedonian,3
aaavadakedavraa,Serbian,6
aaavadakedavraa,Bulgarian,3
aaavadakedavraa,English,2
AAGN1AA,Russian,460
AAGN1AA,Ukrainian,33
AAGN1AA,Uzbek,6
AAGN1AA,Serbian,3
AAGN1AA,Bulgarian,4
AAGN1AA,English,1
AAGN1AA,Macedonian,1
aantiracist,English,1239
aantiracist,Japanese,2
aantiracist,French,2
aantiracist,Spanish,1
aantiracist,Arabic,5
aantiracist,Vietnamese,2
aantiracist,Italian,1
AaronAllenAll,English,17
AaronAllenAll,Indonesian,1
Aaron_M1tchell,LANGUAGE UNDEFINED,1
Aaron_M1tchell,English,3
AbalakovaYlia,Russian,407
AbalakovaYlia,Macedonian,3
AbalakovaYlia,Bulgarian,2
AbalakovaYlia,Ukrainian,24
AbalakovaYlia,Serbian,3
AbalakovaYlia,English,1
AbalakovaYlia,Uzbek,1
abbasshukri,Spanish,1
abbylopTrT,English,3
abellabab,English,40
AbigailCallMe,English,69
AbigailCallMe,Croatian,1
abigailssilk,English,1668
abigailssilk,Croatian,2
abigailssilk,Tagalog (Filipino),2
abigailssilk,Norwegian,4
abigailssilk,Farsi (Persian),5
abigailssilk,Italian,5
abigailssilk,Arabic,4
abigailssilk,Spanish,6
abigailssilk,Slovak,1
abigailssilk,Catalan,1
abigailssilk,Romanian,2
abigailssilk,Pushto,1
abigailssilk,Dutch,2
abigailssilk,Russian,1
abigailssilk,Hungarian,1
abigailssilk,Albanian,2
abigailssilk,Finnish,1
abigailssilk,Lithuanian,1
abigailssilk,French,1
abigailssilk,German,1
abigailssilk,Estonian,2
abigailssilk,Latvian,1
abiissrosb,English,756
abiissrosb,Spanish,2
abiissrosb,German,1
abiissrosb,Catalan,2
abisadmassT,English,7
abmerrlins,English,529
abmerrlins,Arabic,1
abmerrlins,Spanish,1
aboutpolit,LANGUAGE UNDEFINED,1
aboutpolit,English,71
AbramsRebekah,English,24
Abunuwasa,Russian,148
Abunuwasa,Ukrainian,15
Abunuwasa,Arabic,5
Abunuwasa,Serbian,1
Abunuwasa,Uzbek,2
Abunuwasa,Turkish,1
Abunuwasa,English,2
Abunuwasa,Macedonian,1
Abu_Ubaida2,Arabic,1
ACAB_ZONE,English,277
ACAB_ZONE,Vietnamese,2
ACaparella,English,569
ACaparella,Spanish,1
acejinev,English,6134
acejinev,Finnish,3
acejinev,Vietnamese,23
acejinev,Spanish,9
acejinev,Uzbek,3
acejinev,Catalan,2
acejinev,Icelandic,3
acejinev,Portuguese,1
acejinev,Dutch,2
acejinev,French,27
acejinev,Latvian,2
acejinev,Turkish,1
acejinev,Estonian,8
acejinev,Albanian,2
acejinev,German,5
acejinev,Arabic,8
acejinev,Italian,10
acejinev,Danish,2
acejinev,Croatian,2
acejinev,Swedish,1
acejinev,Romanian,3
acejinev,Slovak,1
acejinev,Norwegian,3
acejinev,Farsi (Persian),1
acejinev,Pushto,1
acejinev,Somali,1
